"gene","score"
"Aqr",1.096530295959
"Axin1",1.094239324713
"Arid5a",1.0941713848737
"Ptpn3",1.09181249453993
"Cnksr3",1.09181249453993
"Ints5",1.0914857564735
"Akt1",1.08894779402413
"Phf12",1.08894779402413
"Zbtb16",1.08547493529504
"Dctn1",1.0839954846886
"Tjp1",1.0839954846886
"Pbx3",1.0839954846886
"Arhgef7",1.0839954846886
"Stim1",1.08341330126627
"Slc39a6",1.08323506340016
"Prkar1a",1.08323506340016
"Sgta",1.08259495781215
"Smap2",1.08250630658056
"Rasip1",1.08231136117759
"Clasrp",1.08212010329179
"Spata2",1.08212010329179
"Cyp2c54",1.08132458521891
"Smc1a",1.08100151854411
"Arhgap32",1.08100151854411
"Amotl1",1.07998138817219
"Nsrp1",1.07998138817219
"Ugcg",1.0797162473778
"Znrf1",1.07944542256106
"Dsp",1.07944542256106
"Cyp2c40",1.07813340386634
"Gnl2",1.07806583036269
"Med12l",1.07759011574306
"Slco2a1",1.07735627212648
"Twf1",1.07679349978033
"Wdr43",1.07552769613258
"9530068E07Rik",1.07226467419683
"Tlcd3a",1.07204621258167
"Dicer1",1.07162542197609
"Itpkb",1.07162390909702
"Sp2",1.06999337677932
"Ambp",1.06980207753776
"Cyp2b10",1.06980207753776
"Ap2a1",1.06980207753776
"Alg3",1.06568500713134
"Hcfc1",1.06568500713134
"Adipor1",1.06539391952875
"Phlpp1",1.06532095231882
"Wiz",1.06389749890696
"Atg2b",1.0629721788303
"Mfsd6",1.06221860221142
"Dek",1.06131536433946
"Prkx",1.06072491425256
"Nf1",1.06020547803432
"Ppl",1.05812454741821
"Tgfb1",1.05800407375107
"Ube2j1",1.05800407375107
"Camk2n1",1.05692504166001
"Ddx27",1.05628999667126
"Abl2",1.05569796207342
"Twsg1",1.05457022171702
"AI837181",1.05457022171702
"Irak4",1.05311211241703
"Klhl18",1.05311211241703
"Efnb2",1.05178691982463
"Fsaf1",1.04964210419975
"Bend3",1.04964210419975
"Sall2",1.04951077684994
"2510039O18Rik",1.04877281500694
"Ndc1",1.04816847343747
"Ncl",1.04719980348354
"Il17rb",1.04596422697238
"Tmem243",1.04596422697238
"Lrp5",1.04562506038822
"Polr1a",1.04444996292781
"Gpihbp1",1.04372654865041
"Csf3r",1.04372654865041
"Chsy3",1.04372654865041
"Slain2",1.04372654865041
"Trir",1.04253013687732
"Tpm1",1.04253013687732
"Ttc28",1.04144053770304
"Map3k1",1.04023687702624
"Rpf1",1.03996066074825
"Specc1",1.03912451950906
"Litaf",1.03878295764401
"Itga9",1.03804821284985
"Metap1",1.03755454612014
"Tnrc6c",1.03424417132178
"Abcf1",1.03423660610978
"Sox13",1.0341440171726
"Phactr2",1.03394673572201
"Slc35e1",1.0321683169672
"Tspan7",1.03204344641543
"Tacc2",1.03046389847574
"Gng12",1.02994009240364
"Ssh2",1.02994009240364
"Heatr3",1.02978166430209
"Herc3",1.02639152530943
"Znfx1",1.02630511545805
"Mical3",1.02497631077804
"Pla2g7",1.02486013724489
"Zfhx2",1.02262152523206
"Zbtb5",1.02179894521907
"Map2k4",1.02177926062604
"Gpalpp1",1.02153458500884
"Fkrp",1.020317214328
"Cd163",1.01821367512853
"Dcaf5",1.01756185904886
"Stk10",1.01756185904886
"Rnps1",1.01756185904886
"Usp6nl",1.01554486342765
"Plcl2",1.01505865047518
"Ankrd27",1.01399384203242
"Stau1",1.01399384203242
"Zfp146",1.01399384203242
"Helb",1.01399384203242
"Nav2",1.01399384203242
"Smarce1-ps1",1.01399384203242
"Cul3",1.01353655485893
"Asb8",1.01353655485893
"Fcer1g",1.01248815187923
"Zfp810",1.01104573656428
"Atxn2l",1.01083024236895
"Tle3",1.01010632281649
"Gpx3",1.00924555298814
"Fbxo42",1.00924555298814
"Ubqln4",1.00924555298814
"Cdk12",1.0086682014258
"Golph3",1.00837257311578
"Rab8a",1.00527173938074
"Fzd5",1.00510766018888
"Ncoa1",1.00403938228858
"Lhfpl2",1.00352736782685
"Dnajc16",1.00232537010202
"Ssx2ip",0.998593618793476
"Lrfn3",0.997528956551482
"Tfr2",0.995504917188448
"Arl8b",0.995504917188448
"Ubr5",0.994270620208217
"Ece1",0.994055498456935
"Ubald1",0.993310366498816
"Sema4a",0.993310366498816
"Tfe3",0.992728060892799
"Agbl5",0.992646513736647
"Cdc50b",0.991486891300977
"Seh1l",0.991096566449107
"Wdr7",0.990968423007691
"Fndc3b",0.989998260528831
"Atp2b2",0.98987803418066
"Nr1h2",0.989237161624953
"Ahcyl2",0.989118232285749
"Podxl",0.988671666101539
"Rfxank",0.988413060315761
"Ppp3ca",0.986745860588836
"Ncoa3",0.986745860588836
"Lcn2",0.986644076697276
"Svil",0.986524932616588
"Usp7",0.986402588139315
"Kat14",0.98146790952474
"Bag3",0.980840297667522
"Maml3",0.980840297667522
"Dlg5",0.980823433148383
"Cyp3a11",0.980536256050706
"Dnajc21",0.979022798240804
"Zfp507",0.978498223145044
"Micall1",0.977678039890913
"Fam114a1",0.977211103609345
"Nudt3",0.977211103609345
"Xpr1",0.977211103609345
"Pinx1",0.977118561500768
"Msl3",0.976785609721733
"Golga4",0.976433807039253
"Nfrkb",0.974058771618858
